wl,spn0.1
351,0.887581715
352,0.888092009
353,0.88859928
354,0.889103522
355,0.889604729
356,0.890102895
357,0.890598014
358,0.891090081
359,0.891579089
360,0.892065034
361,0.892547909
362,0.893027709
363,0.893504428
364,0.893978059
365,0.894448598
366,0.894916039
367,0.895380375
368,0.895841601
369,0.896299711
370,0.8967547
371,0.897206561
372,0.897655289
373,0.898100879
374,0.898543323
375,0.898982617
376,0.899418755
377,0.899851731
378,0.90028154
379,0.900708175
380,0.90113163
381,0.901551901
382,0.90196898
383,0.902382863
384,0.902793544
385,0.903200982
386,0.903605151
387,0.904006066
388,0.904403745
389,0.904798204
390,0.905189458
391,0.905577525
392,0.90596242
393,0.906344159
394,0.906722759
395,0.907098236
396,0.907470607
397,0.907839886
398,0.908206092
399,0.908569239
400,0.908929345
401,0.909286425
402,0.909640495
403,0.909991573
404,0.910339674
405,0.910684813
406,0.911027009
407,0.911366276
408,0.911702632
409,0.912036091
410,0.912366671
411,0.912694388
412,0.913019258
413,0.913341297
414,0.913660522
415,0.913976948
416,0.914290592
417,0.91460147
418,0.914909599
419,0.915214624
420,0.915516202
421,0.915814364
422,0.916109141
423,0.916400564
424,0.916688665
425,0.916973474
426,0.917255022
427,0.917533342
428,0.917808463
429,0.918080417
430,0.918349235
431,0.918614948
432,0.918877588
433,0.919137185
434,0.91939377
435,0.919647376
436,0.919898032
437,0.92014577
438,0.920390621
439,0.920632616
440,0.920871787
441,0.921108164
442,0.921341779
443,0.921572662
444,0.921800845
445,0.922026359
446,0.922249236
447,0.922469505
448,0.922687199
449,0.922902348
450,0.923114984
451,0.923325137
452,0.92353284
453,0.923735856
454,0.92393212
455,0.924121917
456,0.924305534
457,0.924483255
458,0.924655367
459,0.924822153
460,0.924983901
461,0.925140896
462,0.925293423
463,0.925441767
464,0.925586215
465,0.925727051
466,0.925864562
467,0.925999032
468,0.926130747
469,0.926259993
470,0.926387055
471,0.926512219
472,0.92663577
473,0.926757994
474,0.926879177
475,0.926999603
476,0.927119558
477,0.927239328
478,0.927359199
479,0.927479455
480,0.927600383
481,0.927722267
482,0.927845394
483,0.927970049
484,0.928096517
485,0.928225084
486,0.928352863
487,0.928476885
488,0.92859731
489,0.928714299
490,0.928828016
491,0.928938619
492,0.929046272
493,0.929151135
494,0.92925337
495,0.929353138
496,0.929450601
497,0.929545919
498,0.929639254
499,0.929730768
500,0.929820622
501,0.929908977
502,0.929995994
503,0.930081835
504,0.930166662
505,0.930250635
506,0.930333917
507,0.930416667
508,0.930499049
509,0.930581222
510,0.930663349
511,0.93074559
512,0.930828108
513,0.930911063
514,0.930994617
515,0.931078931
516,0.931164167
517,0.931250485
518,0.931338048
519,0.931427016
520,0.931516134
521,0.931604055
522,0.931690805
523,0.93177641
524,0.931860898
525,0.931944293
526,0.932026623
527,0.932107914
528,0.932188191
529,0.932267482
530,0.932345812
531,0.932423208
532,0.932499696
533,0.932575302
534,0.932650053
535,0.932723975
536,0.932797093
537,0.932869435
538,0.932941027
539,0.933011895
540,0.933082065
541,0.933151563
542,0.933220416
543,0.93328865
544,0.933356291
545,0.933423366
546,0.933489901
547,0.933555922
548,0.933621455
549,0.933686527
550,0.933751163
551,0.933815391
552,0.933879236
553,0.933942881
554,0.934006458
555,0.934069918
556,0.934133213
557,0.934196293
558,0.934259111
559,0.934321616
560,0.934383762
561,0.934445498
562,0.934506776
563,0.934567548
564,0.934627765
565,0.934687378
566,0.934746338
567,0.934804596
568,0.934862105
569,0.934918814
570,0.934974676
571,0.935029642
572,0.935083663
573,0.93513669
574,0.935188675
575,0.935239568
576,0.935289322
577,0.935337887
578,0.935385215
579,0.935431256
580,0.935475963
581,0.935519287
582,0.935561178
583,0.935601589
584,0.935640469
585,0.935677772
586,0.935713448
587,0.935747199
588,0.935778822
589,0.935808411
590,0.935836056
591,0.935861851
592,0.935885888
593,0.935908259
594,0.935929056
595,0.935948372
596,0.935966299
597,0.93598293
598,0.935998357
599,0.936012672
600,0.936025967
601,0.936038335
602,0.936049869
603,0.93606066
604,0.936070801
605,0.936080384
606,0.936089502
607,0.936098246
608,0.93610671
609,0.936114986
610,0.936123166
611,0.936131341
612,0.936139606
613,0.936148051
614,0.93615677
