X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
0.0603,0.0603,0.0603,0.0603,0.0603,0.0603,0.0603,0.0603,0.0603,0.0603,0.0603,0.0603
0.061700000000000005,0.061700000000000005,0.061700000000000005,0.061700000000000005,0.061700000000000005,0.061700000000000005,0.061700000000000005,0.061700000000000005,0.061700000000000005,0.061700000000000005,0.061700000000000005,0.061700000000000005
0.06320000000000002,0.06320000000000002,0.06320000000000002,0.06320000000000002,0.06320000000000002,0.06320000000000002,0.06320000000000002,0.06320000000000002,0.06320000000000002,0.06320000000000002,0.06320000000000002,0.06320000000000002
0.06500000000000002,0.06500000000000002,0.06500000000000002,0.06500000000000002,0.06500000000000002,0.06500000000000002,0.06500000000000002,0.06500000000000002,0.06500000000000002,0.06500000000000002,0.06500000000000002,0.06500000000000002
0.0671,0.0671,0.0671,0.0671,0.0671,0.0671,0.0671,0.0671,0.0671,0.0671,0.0671,0.0671
0.0689,0.0689,0.0689,0.0689,0.0689,0.0689,0.0689,0.0689,0.0689,0.0689,0.0689,0.0689
0.0702,0.0702,0.0702,0.0702,0.0702,0.0702,0.0702,0.0702,0.0702,0.0702,0.0702,0.0702
0.0713,0.0713,0.0713,0.0713,0.0713,0.0713,0.0713,0.0713,0.0713,0.0713,0.0713,0.0713
0.0724,0.0724,0.0724,0.0724,0.0724,0.0724,0.0724,0.0724,0.0724,0.0724,0.0724,0.0724
0.0738,0.0738,0.0738,0.0738,0.0738,0.0738,0.0738,0.0738,0.0738,0.0738,0.0738,0.0738
0.0755,0.0755,0.0755,0.0755,0.0755,0.0755,0.0755,0.0755,0.0755,0.0755,0.0755,0.0755
0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773,0.0773
0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793,0.0793
0.0812,0.0812,0.0812,0.0812,0.0812,0.0812,0.0812,0.0812,0.0812,0.0812,0.0812,0.0812
0.0834,0.0834,0.0834,0.0834,0.0834,0.0834,0.0834,0.0834,0.0834,0.0834,0.0834,0.0834
0.0856,0.0856,0.0856,0.0856,0.0856,0.0856,0.0856,0.0856,0.0856,0.0856,0.0856,0.0856
0.0879,0.0879,0.0879,0.0879,0.0879,0.0879,0.0879,0.0879,0.0879,0.0879,0.0879,0.0879
0.09030000000000003,0.09030000000000003,0.09030000000000003,0.09030000000000003,0.09030000000000003,0.09030000000000003,0.09030000000000003,0.09030000000000003,0.09030000000000003,0.09030000000000003,0.09030000000000003,0.09030000000000003
0.09270000000000003,0.09270000000000003,0.09270000000000003,0.09270000000000003,0.09270000000000003,0.09270000000000003,0.09270000000000003,0.09270000000000003,0.09270000000000003,0.09270000000000003,0.09270000000000003,0.09270000000000003
0.09470000000000003,0.09470000000000003,0.09470000000000003,0.09470000000000003,0.09470000000000003,0.09470000000000003,0.09470000000000003,0.09470000000000003,0.09470000000000003,0.09470000000000003,0.09470000000000003,0.09470000000000003
0.09640000000000003,0.09640000000000003,0.09640000000000003,0.09640000000000003,0.09640000000000003,0.09640000000000003,0.09640000000000003,0.09640000000000003,0.09640000000000003,0.09640000000000003,0.09640000000000003,0.09640000000000003
0.0978,0.0978,0.0978,0.0978,0.0978,0.0978,0.0978,0.0978,0.0978,0.0978,0.0978,0.0978
0.0991,0.0991,0.0991,0.0991,0.0991,0.0991,0.0991,0.0991,0.0991,0.0991,0.0991,0.0991
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101,0.101
0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103,0.103
0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104,0.104
0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105
0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107,0.107
0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108,0.108
0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109
0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112
0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114,0.114
0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115
0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116,0.116
0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117,0.117
0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.119
0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121
0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122
0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122
0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123
0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124
0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126
0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126
0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127,0.127
0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128
0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129
0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129
